Method,Name,Error,Occurrences
POST,/trainers/2361/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2361/pokemon/'),1
POST,/trainers/2522/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2522/pokemon/'),1
POST,/trainers/2525/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2525/pokemon/'),1
POST,/trainers/2208/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2208/pokemon/'),1
POST,/trainers/2527/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2527/pokemon/'),1
POST,/trainers/2573/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2573/pokemon/'),1
POST,/trainers/2518/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2518/pokemon/'),1
POST,/trainers/2500/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2500/pokemon/'),1
POST,/trainers/2248/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2248/pokemon/'),1
POST,/trainers/2251/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2251/pokemon/'),1
POST,/trainers/2155/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2155/pokemon/'),1
POST,/trainers/2343/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2343/pokemon/'),1
POST,/trainers/2419/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2419/pokemon/'),1
POST,/trainers/2377/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2377/pokemon/'),1
POST,/trainers/2133/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2133/pokemon/'),1
POST,/trainers/2571/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2571/pokemon/'),1
POST,/trainers/2501/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2501/pokemon/'),1
POST,/trainers/2589/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2589/pokemon/'),1
POST,/trainers/2238/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2238/pokemon/'),1
POST,/trainers/2549/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2549/pokemon/'),1
POST,/trainers/2189/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2189/pokemon/'),1
POST,/trainers/2319/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2319/pokemon/'),1
POST,/trainers/2276/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2276/pokemon/'),1
POST,/trainers/2577/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2577/pokemon/'),1
POST,/trainers/2359/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2359/pokemon/'),1
POST,/trainers/2403/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2403/pokemon/'),1
POST,/trainers/2123/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2123/pokemon/'),1
POST,/trainers/2430/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2430/pokemon/'),1
POST,/trainers/2150/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2150/pokemon/'),1
POST,/trainers/2129/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2129/pokemon/'),1
POST,/trainers/2244/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2244/pokemon/'),1
POST,/trainers/2514/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2514/pokemon/'),1
POST,/trainers/2491/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2491/pokemon/'),1
POST,/trainers/2440/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2440/pokemon/'),1
POST,/trainers/2429/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2429/pokemon/'),1
POST,/trainers/2151/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2151/pokemon/'),1
POST,/trainers/2520/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2520/pokemon/'),1
POST,/trainers/2149/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2149/pokemon/'),1
POST,/trainers/2119/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2119/pokemon/'),1
POST,/trainers/2462/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2462/pokemon/'),1
POST,/trainers/2344/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2344/pokemon/'),1
POST,/trainers/2472/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2472/pokemon/'),1
POST,/trainers/2089/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2089/pokemon/'),1
POST,/trainers/2178/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2178/pokemon/'),1
POST,/trainers/2391/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2391/pokemon/'),1
POST,/trainers/2385/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2385/pokemon/'),1
POST,/trainers/2306/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2306/pokemon/'),1
POST,/trainers/2164/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2164/pokemon/'),1
POST,/trainers/2154/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2154/pokemon/'),1
POST,/trainers/2414/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2414/pokemon/'),1
POST,/trainers/2539/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2539/pokemon/'),1
POST,/trainers/2223/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2223/pokemon/'),1
POST,/trainers/1995/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/1995/pokemon/'),1
POST,/trainers/2454/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2454/pokemon/'),1
POST,/trainers/2109/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2109/pokemon/'),1
POST,/trainers/2335/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2335/pokemon/'),1
POST,/trainers/2292/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2292/pokemon/'),1
POST,/trainers/2349/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2349/pokemon/'),1
POST,/trainers/2195/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2195/pokemon/'),1
POST,/trainers/2564/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2564/pokemon/'),1
POST,/trainers/2587/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2587/pokemon/'),1
POST,/trainers/2382/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2382/pokemon/'),1
POST,/trainers/2604/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2604/pokemon/'),1
POST,/trainers/2586/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2586/pokemon/'),1
POST,/trainers/2245/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2245/pokemon/'),1
POST,/trainers/2373/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2373/pokemon/'),1
POST,/trainers/2557/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2557/pokemon/'),1
POST,/trainers/2509/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2509/pokemon/'),1
POST,/trainers/2217/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2217/pokemon/'),1
POST,/trainers/2550/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2550/pokemon/'),1
POST,/trainers/2279/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2279/pokemon/'),1
POST,/trainers/2453/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2453/pokemon/'),1
POST,/trainers/2581/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2581/pokemon/'),1
POST,/trainers/2174/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2174/pokemon/'),1
POST,/trainers/2256/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2256/pokemon/'),1
POST,/trainers/2482/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2482/pokemon/'),1
POST,/trainers/2071/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2071/pokemon/'),1
POST,/trainers/2560/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2560/pokemon/'),1
POST,/trainers/2561/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2561/pokemon/'),1
POST,/trainers/2480/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2480/pokemon/'),1
POST,/trainers/2362/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2362/pokemon/'),1
POST,/trainers/2380/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2380/pokemon/'),1
POST,/trainers/2106/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2106/pokemon/'),1
POST,/trainers/2219/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2219/pokemon/'),1
POST,/trainers/2505/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2505/pokemon/'),1
POST,/trainers/2566/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2566/pokemon/'),1
POST,/trainers/2477/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2477/pokemon/'),1
POST,/trainers/2394/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2394/pokemon/'),1
POST,/trainers/2576/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2576/pokemon/'),1
POST,/trainers/2603/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2603/pokemon/'),1
POST,/trainers/2302/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2302/pokemon/'),1
POST,/trainers/2396/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2396/pokemon/'),1
POST,/trainers/2365/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2365/pokemon/'),1
POST,/trainers/2443/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2443/pokemon/'),1
POST,/trainers/2467/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2467/pokemon/'),1
POST,/trainers/2431/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2431/pokemon/'),1
POST,/trainers/2299/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2299/pokemon/'),1
POST,/trainers/2469/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2469/pokemon/'),1
POST,/trainers/2167/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2167/pokemon/'),1
POST,/trainers/2553/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2553/pokemon/'),1
POST,/trainers/2424/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2424/pokemon/'),1
POST,/trainers/2246/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2246/pokemon/'),1
POST,/trainers/2166/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2166/pokemon/'),1
POST,/trainers/2099/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2099/pokemon/'),1
POST,/trainers/2281/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2281/pokemon/'),1
POST,/trainers/2427/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2427/pokemon/'),1
POST,/trainers/2578/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2578/pokemon/'),1
POST,/trainers/2158/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2158/pokemon/'),1
POST,/trainers/2257/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2257/pokemon/'),1
POST,/trainers/2397/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2397/pokemon/'),1
POST,/trainers/2582/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2582/pokemon/'),1
POST,/trainers/2400/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2400/pokemon/'),1
POST,/trainers/2043/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2043/pokemon/'),1
POST,/trainers/2609/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2609/pokemon/'),1
POST,/trainers/2266/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2266/pokemon/'),1
POST,/trainers/2536/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2536/pokemon/'),1
POST,/trainers/2104/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2104/pokemon/'),1
POST,/trainers/2220/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2220/pokemon/'),1
POST,/trainers/2322/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2322/pokemon/'),1
POST,/trainers/2530/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2530/pokemon/'),1
POST,/trainers/2333/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2333/pokemon/'),1
POST,/trainers/2411/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2411/pokemon/'),1
POST,/trainers/2275/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2275/pokemon/'),1
POST,/trainers/2486/pokemon/,HTTPError('500 Server Error: Internal Server Error for url: http://127.0.0.1:8000/trainers/2486/pokemon/'),1
